time,Mag_Z_Avg,SPAM_On_Y_MTQ_Y,SPAM_On_Y_MTQ_Z,Tumble_Status
1584763115,-1.1917808219178083,0.0,0.0,Not Tumbling
1584763177,-1.356164383561644,0.0,0.0,Not Tumbling
1584763234,-0.6575342465753424,0.0,0.0,Not Tumbling
1584763297,1.0,0.0,0.0,Not Tumbling
1584763354,2.3972602739726026,0.0,0.0,Not Tumbling
1584763417,2.4794520547945207,0.0,0.0,Not Tumbling
1584763474,1.2191780821917808,0.0,0.0,Not Tumbling
1584763537,-0.6712328767123288,0.0,0.0,Not Tumbling
1584763594,-2.2465753424657535,0.0,0.0,Not Tumbling
1584763656,-2.8493150684931505,0.0,0.0,Not Tumbling
1584763714,-2.287671232876712,0.0,0.0,Not Tumbling
1584768937,-2.780821917808219,-12.273972602739725,-6.52054794520548,Not Tumbling
1584768994,-3.7534246575342465,-12.273972602739725,-6.52054794520548,Not Tumbling
1584769057,-0.7534246575342466,-12.273972602739725,-6.52054794520548,Not Tumbling
1584769114,4.684931506849315,-12.273972602739725,-6.52054794520548,Not Tumbling
1584769176,7.7534246575342465,-12.273972602739725,-6.52054794520548,Not Tumbling
1584769234,7.876712328767123,-12.273972602739725,-6.52054794520548,Not Tumbling
1584769296,4.082191780821918,-12.273972602739725,-6.52054794520548,Not Tumbling
1584769354,-0.1643835616438356,-12.273972602739725,-6.52054794520548,Not Tumbling
1584769536,-3.6986301369863015,-12.273972602739725,-6.52054794520548,Not Tumbling
1584769594,-0.726027397260274,-12.273972602739725,-6.52054794520548,Not Tumbling
1584769714,7.5479452054794525,-12.273972602739725,-6.52054794520548,Not Tumbling
1584847425,-1.7945205479452055,-12.013698630136986,1.082191780821918,Not Tumbling
1584847482,-0.958904109589041,-12.013698630136986,1.082191780821918,Not Tumbling
1584847545,2.2465753424657535,-12.013698630136986,1.082191780821918,Not Tumbling
1584847602,6.273972602739726,-12.013698630136986,1.082191780821918,Not Tumbling
1584847665,7.945205479452055,-12.013698630136986,1.082191780821918,Not Tumbling
1584847722,6.424657534246576,-12.013698630136986,1.082191780821918,Not Tumbling
1584847785,2.712328767123288,-12.013698630136986,1.082191780821918,Not Tumbling
1584847842,-0.5342465753424658,-12.013698630136986,1.082191780821918,Not Tumbling
1584847904,-1.8082191780821917,-12.013698630136986,1.082191780821918,Not Tumbling
1584847962,-2.0547945205479454,-12.013698630136986,1.082191780821918,Not Tumbling
1584848024,-1.4931506849315068,-12.013698630136986,1.082191780821918,Not Tumbling
1584848082,0.5205479452054794,-12.013698630136986,1.082191780821918,Not Tumbling
1584848144,3.7260273972602738,-12.013698630136986,1.082191780821918,Not Tumbling
1584853365,2.8493150684931505,-7.2465753424657535,3.095890410958904,Not Tumbling
1584853423,3.041095890410959,-7.2465753424657535,3.095890410958904,Not Tumbling
1584853485,2.3013698630136985,-7.2465753424657535,3.095890410958904,Not Tumbling
1584853543,0.3972602739726027,-7.2465753424657535,3.095890410958904,Not Tumbling
1584853605,-0.0410958904109589,-7.2465753424657535,3.095890410958904,Not Tumbling
1584853663,-1.356164383561644,-7.2465753424657535,3.095890410958904,Not Tumbling
1584853725,-3.0684931506849313,-7.2465753424657535,3.095890410958904,Not Tumbling
1584853782,-3.863013698630137,-7.2465753424657535,3.095890410958904,Not Tumbling
1584853845,-3.9726027397260273,-7.2465753424657535,3.095890410958904,Not Tumbling
1584853902,-0.5205479452054794,-7.2465753424657535,3.095890410958904,Not Tumbling
1584853965,4.36986301369863,-7.2465753424657535,3.095890410958904,Not Tumbling
1584854022,4.794520547945205,-7.2465753424657535,3.095890410958904,Not Tumbling
1584854085,4.794520547945205,-7.2465753424657535,3.095890410958904,Not Tumbling
1584854142,4.794520547945205,-7.2465753424657535,3.095890410958904,Not Tumbling
1584854204,4.794520547945205,-11.712328767123287,2.0821917808219177,Not Tumbling
1585016324,7.1506849315068495,-11.520547945205479,-8.397260273972602,Not Tumbling
1585016382,9.794520547945206,-11.520547945205479,-8.397260273972602,Not Tumbling
1585016444,9.575342465753424,-11.520547945205479,-8.397260273972602,Not Tumbling
1585016502,6.575342465753424,-11.520547945205479,-8.397260273972602,Not Tumbling
1585016564,0.2328767123287671,-11.520547945205479,-8.397260273972602,Not Tumbling
1585016622,-3.835616438356164,-11.520547945205479,-8.397260273972602,Not Tumbling
1585016684,-2.8767123287671232,-11.520547945205479,-8.397260273972602,Not Tumbling
1585016746,-2.0547945205479454,-11.520547945205479,-8.397260273972602,Not Tumbling
1585016804,-3.5205479452054793,-11.520547945205479,-8.397260273972602,Not Tumbling
1585016866,-3.9315068493150687,-11.520547945205479,-8.397260273972602,Not Tumbling
1585016924,2.1506849315068495,-11.520547945205479,-8.397260273972602,Not Tumbling
1585022142,7.561643835616438,-11.520547945205479,-8.397260273972602,Not Tumbling
1585022279,-2.0273972602739727,-11.520547945205479,-8.397260273972602,Not Tumbling
1585022284,-2.1506849315068495,-11.520547945205479,-8.397260273972602,Not Tumbling
1585022308,-2.589041095890411,-11.520547945205479,-8.397260273972602,Not Tumbling
1585022313,-2.5616438356164384,-11.520547945205479,-8.397260273972602,Not Tumbling
1585022322,-2.4246575342465753,-11.520547945205479,-8.397260273972602,Not Tumbling
1585022370,-0.0136986301369863,-11.520547945205479,-8.397260273972602,Not Tumbling
1585022380,0.0547945205479452,-11.520547945205479,-8.397260273972602,Not Tumbling
1585022505,0.0547945205479452,-11.520547945205479,-8.397260273972602,Not Tumbling
1585022625,0.0547945205479452,-14.767123287671232,3.232876712328767,Not Tumbling
1585022682,0.0547945205479452,-14.767123287671232,3.232876712328767,Not Tumbling
1585022802,4.575342465753424,-14.767123287671232,3.232876712328767,Not Tumbling
1585022864,7.0,-14.767123287671232,3.232876712328767,Not Tumbling
1585022984,5.534246575342466,-14.767123287671232,3.232876712328767,Not Tumbling
1587416114,1.4657534246575343,-14.95890410958904,-0.2602739726027397,Not Tumbling
1587416177,-0.8767123287671232,-14.95890410958904,-0.2602739726027397,Not Tumbling
1587416234,-0.5753424657534246,-14.95890410958904,-0.2602739726027397,Not Tumbling
1587416296,1.2602739726027397,-14.95890410958904,-0.2602739726027397,Not Tumbling
1587416354,2.095890410958904,-14.95890410958904,-0.2602739726027397,Not Tumbling
1587416416,1.2876712328767124,-14.95890410958904,-0.2602739726027397,Not Tumbling
1587416474,1.3835616438356164,-14.95890410958904,-0.2602739726027397,Not Tumbling
1587416536,3.5616438356164384,-14.95890410958904,-0.2602739726027397,Tumbling
1587416594,4.945205479452055,-14.95890410958904,-0.2602739726027397,Tumbling
1587416656,3.589041095890411,-14.95890410958904,-0.2602739726027397,Not Tumbling
1587759794,-0.0821917808219178,-15.164383561643836,-3.3013698630136985,Not Tumbling
1587759856,0.7397260273972602,-15.164383561643836,-3.3013698630136985,Not Tumbling
1587759914,2.9726027397260273,-15.164383561643836,-3.3013698630136985,Not Tumbling
1587759976,4.972602739726027,-15.164383561643836,-3.3013698630136985,Not Tumbling
1587760033,4.931506849315069,-15.164383561643836,-3.3013698630136985,Not Tumbling
1587760096,2.4246575342465753,-15.164383561643836,-3.3013698630136985,Not Tumbling
1587760153,-0.6712328767123288,-15.164383561643836,-3.3013698630136985,Not Tumbling
1587760216,-1.6849315068493151,-15.164383561643836,-3.3013698630136985,Not Tumbling
1587760273,-0.3972602739726027,-15.164383561643836,-3.3013698630136985,Not Tumbling
1587760336,1.9315068493150684,-15.164383561643836,-3.3013698630136985,Not Tumbling
